ZZMATNR,ZZWERKS,ZZLGORT,ZZDELKZ,ZZCOUNTER,ZZPLANR,ZZPLUMI,ZZVRFKZ,ZZDAT00,ZZDELB00,ZZEXTRA,ZZMNG01,ZZMNG04,ZZREVLV,ZZMNG02,ZZPLWRK,ZZSLOC2,ZZPLAAB,ZZLIFNR,ZZKUNNR,ZZTRAMG,ZZMEINS,ZZNUM08,ZZUMDAT,ZZVRFMG,ZZWEBAZ,ZZDISMM,ZZBUKRS,ZZMSTAE,ZZEXCMSGKEY,ZZEXCMESSAGE,SELECTION_RULE,PLAN_SCENARIO,ZZBERID,ZZPAART,ZZOCD,ZZCQRDT,ZZFIXQTY
10000LB,1920,2,WB,1,,B,X,5/25/2022,Stock,,"38,231",0,,0,,,,,,0,LB,0,,"38,231",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SH,2,,B,X,5/25/2022,SafeSt,Safety Stock,"-30,240",0,,0,,,,,,0,LB,0,,"7,991",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,BE,3,,+,X,4/12/2022,PchOrd,4500998354/00010,"43,000",0,,0,,,,138171,,0,LB,20220412,,"50,991",4,PD,1000,40,T4,07,,0,1920,,,,
10000LB,1920,2,AR,4,,-,X,4/13/2022,OrdRes,PMFI-ST-26S,-148.160,0,A,0,,,0200,,,0,LB,20220413,,"50,842.840",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,AR,5,,-,X,4/14/2022,OrdRes,PMFI-ST-28,"-2,100.060",0,A,0,,,0200,,,0,LB,20220414,,"48,742.780",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,AR,6,,-,X,4/19/2022,OrdRes,PMFI-ST-33,"-1,589.600",0,A,0,,,0200,,,0,LB,20220419,,"47,153.180",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,AR,7,,-,X,4/20/2022,OrdRes,PMFI-ST-26S,"-5,042.970",0,A,0,,,0200,,,0,LB,20220420,,"42,110.210",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,AR,8,,-,X,4/22/2022,OrdRes,PMFI-ST-26S,"-5,042.970",0,A,0,,,0200,,,0,LB,20220422,,"37,067.240",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,AR,9,,-,X,5/5/2022,OrdRes,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20220505,,"26,576.390",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,AR,10,,-,X,5/10/2022,OrdRes,PMFI-PSR,"-7,257.360",0,A,0,,,0200,,,0,LB,20220510,,"19,319.030",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,11,,-,X,5/16/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20220516,,"8,828.180",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,12,,-,X,5/20/2022,DepReq,PMFI-ST-28,"-2,100.060",0,A,0,,,0200,,,0,LB,20220520,,"6,728.120",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,BA,13,,+,X,5/25/2022,PurRqs,0025102382/00010,"43,000",0,A,0,,,,138171,,0,LB,20220525,,"49,728.120",4,PD,1000,40,T4,07,,0,1920,,,,
10000LB,1920,2,SB,14,,-,X,5/25/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20220525,,"39,237.270",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,15,,-,X,6/15/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20220615,,"28,746.420",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,16,,-,X,7/25/2022,DepReq,PMFI-ST-28,"-2,100.060",0,A,0,,,0200,,,0,LB,20220725,,"26,646.360",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,17,,-,X,7/27/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20220727,,"16,155.510",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,18,,-,X,7/29/2022,DepReq,PMFI-ST-33,"-1,589.600",0,A,0,,,0200,,,0,LB,20220729,,"14,565.910",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,19,,-,X,8/4/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20220804,,"4,075.060",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,PA,20,,+,X,8/12/2022,PlOrd.,0356666480/SDeb,"43,000",0,A,0,,,,138171,,0,LB,20220812,,"47,075.060",4,PD,1000,40,,,,0,1920,NB,,,
10000LB,1920,2,SB,21,,-,X,8/12/2022,DepReq,PMFI-PSR,"-7,257.360",0,A,0,,,0200,,,0,LB,20220812,,"39,817.700",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,22,,-,X,8/18/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20220818,,"29,326.850",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,23,,-,X,8/26/2022,DepReq,PMFI-ST-28,"-2,100.060",0,A,0,,,0200,,,0,LB,20220826,,"27,226.790",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,24,,-,X,10/6/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20221006,,"16,735.940",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,25,,-,X,10/7/2022,DepReq,PMFI-PSR,"-7,257.360",0,A,0,,,0200,,,0,LB,20221007,,"9,478.580",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,26,,-,X,10/21/2022,DepReq,PMFI-ST-33,"-1,589.600",0,A,0,,,0200,,,0,LB,20221021,,"7,888.980",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,PA,27,,+,X,10/27/2022,PlOrd.,0356666481/SDeb,"43,000",0,A,0,,,,138171,,0,LB,20221027,,"50,888.980",4,PD,1000,40,,,,0,1920,NB,,,
10000LB,1920,2,SB,28,,-,X,10/27/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20221027,,"40,398.130",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,29,,-,X,10/28/2022,DepReq,PMFI-REGENSI31,"-1,688.430",0,A,0,,,0200,,,0,LB,20221028,,"38,709.700",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,30,,-,X,10/31/2022,DepReq,PMFI-ST-28,"-2,100.060",0,A,0,,,0200,,,0,LB,20221031,,"36,609.640",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,31,,-,X,11/14/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20221114,,"26,118.790",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,32,,-,X,11/22/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20221122,,"15,627.940",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,33,,-,X,12/5/2022,DepReq,PMFI-ST-28,"-2,100.060",0,A,0,,,0200,,,0,LB,20221205,,"13,527.880",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,34,,-,X,12/15/2022,DepReq,PMFI-PSR,"-7,257.360",0,A,0,,,0200,,,0,LB,20221215,,"6,270.520",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,35,,-,X,12/15/2022,DepReq,PMFI-ST-33,"-1,589.600",0,A,0,,,0200,,,0,LB,20221215,,"4,680.920",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,PA,36,,+,X,12/29/2022,PlOrd.,0356666482/SDeb,"43,000",0,A,0,,,,138171,,0,LB,20221229,,"47,680.920",4,PD,1000,40,,,,0,1920,NB,,,
10000LB,1920,2,SB,37,,-,X,12/29/2022,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20221229,,"37,190.070",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,38,,-,X,1/23/2023,DepReq,PMFI-ST-28,"-2,100.060",0,A,0,,,0200,,,0,LB,20230123,,"35,090.010",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,39,,-,X,2/7/2023,DepReq,PMFI-ST-26S,"-10,490.850",0,A,0,,,0200,,,0,LB,20230207,,"24,599.160",4,PD,1000,40,,,,0,1920,,,,
10000LB,1920,2,SB,40,,-,X,2/9/2023,DepReq,PMFI-ST-33,"-1,589.600",0,A,0,,,0200,,,0,LB,20230209,,"23,009.560",4,PD,1000,40,,,,0,1920,,,,
